imdbID,genres
13070602,Drama
14402926,Animation
14402926,Action
14402926,Crime
14632158,Romance
13322120,Action
13322120,Crime
13322120,Drama
8773094,Crime
8773094,Thriller
13510660,Crime
13510660,Drama
13510660,Thriller
7325622,Drama
7325622,Thriller
10505316,Drama
10505316,Romance
14810692,Action
14810692,Drama
14810692,Thriller
14713814,Drama
10307724,Biography
10307724,Crime
10307724,Drama
14781176,Horror
14781176,Thriller
9531772,Action
9531772,Crime
9531772,Thriller
11867884,Comedy
11867884,Drama
11773378,Action
11773378,Drama
8941380,Horror
11809034,Action
11809034,Adventure
11809034,Drama
11540284,Comedy
11540284,Family
14673560,Comedy
14673560,Drama
9410034,Drama
13182756,Biography
13182756,Drama
13182756,History
6551842,Drama
12625756,Fantasy
12625756,Mystery
12625756,Sci-Fi
10810850,Comedy
10810850,Romance
6550808,Crime
6550808,Drama
6550808,Mystery
12856788,Action
12856788,Romance
12856788,Thriller
10380900,Comedy
10380900,Crime
10380900,Drama
13559026,Drama
10945274,Drama
10589738,Drama
10899402,Horror
10899402,Mystery
10899402,Thriller
7286976,Comedy
11698662,Comedy
11698662,Music
11698662,Romance
11599576,Drama
16375288,Animation
16375288,Comedy
14623762,Action
14623762,Horror
14623762,Sci-Fi
11564214,Action
11564214,Comedy
11564214,Crime
12851396,Animation
12851396,Action
12851396,Adventure
12885852,Animation
12885852,Action
12885852,Adventure
10715446,Thriller
4697290,Drama
4697290,History
11840988,Horror
11840988,Thriller
15096796,Animation
15096796,Comedy
15096796,Family
11790674,Drama
11790674,History
11790674,Thriller
8984572,Crime
8984572,Drama
8984572,Thriller
14250266,Comedy
14250266,Romance
13956548,Drama
13956548,Romance
14980972,Drama
14980972,Thriller
11905698,Drama
11905698,Horror
11905698,Mystery
14833702,Comedy
14833702,Romance
11009596,Drama
11009596,Sci-Fi
4593154,Drama
12929990,Comedy
12929990,Romance
9849004,Comedy
9849004,Crime
9849004,Romance
15331462,Action
15331462,Adventure
15331462,Horror
8521736,Adventure
8521736,Comedy
8521736,Family
16492636,Animation
16492636,Action
16492636,Fantasy
11188624,Horror
11188624,Mystery
9352356,Horror
9352356,Thriller
10366574,Drama
9013182,Crime
9013182,Drama
9013182,Mystery
13468436,Drama
11681282,Drama
11681282,Thriller
8657270,Action
8657270,Horror
8657270,Thriller
11136276,Drama
11136276,Thriller
11348542,Drama
11348542,Horror
10896398,Drama
10896398,Sport
14996254,Fantasy
14996254,Horror
12163074,Horror
13172796,Comedy
14039046,Comedy
14039046,Romance
14901058,Animation
14901058,Action
14901058,Adventure
11580854,Action
11580854,Drama
11580854,Sport
9170516,Drama
9170516,History
9170516,War
14490908,Drama
14490908,Thriller
10160974,Fantasy
10160974,Horror
10160974,Thriller
11908982,Horror
9110904,Comedy
9110904,Drama
16757252,Drama
11366736,Comedy
12546872,Romance
10569922,Comedy
10569922,Romance
11799110,Action
11799110,Thriller
3781118,Crime
3781118,Drama
11384004,Romance
7638556,Comedy
7638556,Drama
7638556,Musical
14061008,Comedy
14061008,Drama
14061008,Fantasy
8371236,Comedy
8371236,Drama
15010590,Biography
15010590,Drama
15010590,History
11307724,Drama
11307724,Horror
11307724,Thriller
3104956,Comedy
3104956,Drama
4439620,Action
4439620,Drama
4439620,Thriller
13774454,Action
13774454,Comedy
6523526,Comedy
11448490,Horror
11448490,Thriller
7601480,Action
7601480,Adventure
12653060,Drama
12653060,History
12653060,Western
14107648,Comedy
14107648,Romance
11423828,Romance
11944928,Crime
11944928,Drama
11944928,Mystery
11816092,Comedy
7050946,Drama
13616400,Comedy
13616400,Romance
12861212,Drama
12861212,Horror
12861212,Thriller
6852178,Biography
6852178,Drama
6852178,War
3454424,Animation
3454424,History
6570098,Animation
6570098,Adventure
6570098,Comedy
15214870,Comedy
15214870,Drama
15214870,Mystery
13622118,Animation
7524444,Action
7524444,Comedy
7524444,Horror
1677615,Drama
11788956,Action
11788956,Comedy
11788956,Drama
10928086,Horror
10928086,Thriller
8886670,Drama
8886670,Thriller
13863334,Action
13863334,Thriller
9415108,Drama
9415108,History
9415108,War
9585676,Crime
9585676,Drama
9585676,Thriller
14635982,Comedy
14635982,Drama
14635982,Family
10730376,Thriller
14490958,Crime
14490958,Drama
11263022,Horror
11263022,Mystery
9568230,Action
9568230,Sci-Fi
9568230,Thriller
8466482,Comedy
8466482,Drama
11260832,Action
11260832,Thriller
7743120,Comedy
7743120,Drama
6852672,Drama
10712928,Comedy
10712928,Drama
10712928,Romance
11947282,Comedy
11947282,Family
14731142,Comedy
14731142,Drama
14731142,Family
11990460,Action
11990460,Thriller
4520920,Comedy
4520920,Horror
13067292,Action
13067292,Thriller
16755970,Comedy
16755970,Romance
9382172,Horror
9382172,Mystery
9382172,Thriller
11941800,Comedy
11941800,Drama
11941800,Romance
10077034,Action
10077034,Drama
7413600,Horror
13454228,Action
11681056,Drama
8907992,Crime
8907992,Drama
8907992,Mystery
13515076,Action
13515076,Adventure
12885272,Biography
12885272,Drama
12885272,Musical
9850740,Drama
9850740,Music
9850740,Romance
11151336,Crime
11151336,Drama
11151336,Horror
15141632,Action
15141632,War
5737388,Drama
5737388,Horror
5737388,Mystery
15566744,Crime
10314548,Drama
10314548,Sport
16088674,Drama
15141288,Drama
15141288,Fantasy
15141288,Horror
11433048,Crime
11433048,Drama
11433048,Mystery
7972012,Action
7972012,Comedy
15091284,Animation
15091284,Adventure
15091284,Fantasy
13613056,Drama
9893084,Drama
10075650,Action
10075650,Adventure
10075650,Romance
13366258,Drama
13366258,Romance
13473548,Drama
15248582,Drama
8760670,Fantasy
8760670,Mystery
8760670,Thriller
15388610,Comedy
15388610,Drama
15388610,Fantasy
13529034,Comedy
13529034,Romance
13848128,Comedy
11579538,Action
11579538,Adventure
11579538,Crime
11658120,Action
11658120,Crime
11658120,Drama
10791152,Comedy
10791152,Drama
10791152,Romance
7277234,Drama
7277234,Thriller
14905650,Horror
12881516,Drama
12881516,Mystery
12881516,Thriller
10887358,Drama
10887358,Romance
8205028,Drama
8205028,Romance
14490832,Drama
14490832,Crime
10243676,Fantasy
10243676,Sci-Fi
16162114,Thriller
11310608,Drama
11734264,Action
11734264,Crime
11734264,Drama
11374902,Action
11374902,Comedy
11374902,Crime
14018370,Comedy
13723562,Crime
10579952,Action
10579952,Thriller
15358226,Action
15358226,Crime
15358226,Thriller
14546630,Horror
10661710,Action
10661710,Drama
10661710,Sport
12302540,Drama
12302540,Fantasy
12302540,Romance
14315584,Crime
14315584,Drama
13131636,Comedy
13131636,Crime
13131636,Drama
13775584,Drama
13775584,Romance
6588950,Comedy
6588950,Drama
6588950,Romance
9804272,Crime
9804272,Drama
9804272,Thriller
11772600,Drama
7598106,Drama
12117860,Comedy
12117860,Drama
9381682,Action
9381682,Crime
9381682,Mystery
10400028,Biography
10400028,Drama
10400028,Sport
13299890,Comedy
13299890,Drama
11328762,Comedy
10661848,Action
10661848,Crime
10661848,Drama
13131186,Action
13131186,Drama
13131186,Thriller
14445134,Comedy
14445134,Drama
14445134,Family
14203864,Drama
14203864,Romance
9686350,Comedy
13831504,Comedy
13831504,Drama
13831504,Romance
14578032,Drama
14527836,Drama
14527836,Mystery
14527836,Thriller
10840042,Drama
10840042,Thriller
13613732,Thriller
14679136,Thriller
10835642,Comedy
11379584,Drama
17079562,Comedy
12989912,Sci-Fi
14035154,Drama
10225926,Horror
14599938,Comedy
14599938,Romance
12058584,Drama
12058584,Thriller
12058584,War
11307814,Drama
11307814,Horror
11307814,Thriller
13269616,Drama
14804080,Action
14804080,Adventure
14804080,Thriller
11020728,Comedy
11020728,Romance
8160794,Drama
10260844,Horror
7356476,Comedy
14246700,Drama
4940336,Drama
4940336,Sci-Fi
4940336,Thriller
9471660,Drama
9471660,Horror
9471660,Mystery
10350204,Family
13361442,Horror
16088568,Drama
16088568,Romance
15132028,Drama
9815554,Drama
10926320,Comedy
12483708,Sci-Fi
10895556,Drama
10895556,Sport
13135852,Thriller
15208950,Drama
15208950,Mystery
15208950,Romance
9896876,Comedy
13757540,Sci-Fi
11859012,Horror
11859012,Thriller
6981064,Comedy
6981064,Crime
6981064,Thriller
10451312,Crime
10451312,Thriller
15115102,Drama
14500264,Mystery
14500264,Romance
11396290,Drama
15444704,Drama
15444704,Musical
15444704,Romance
10147580,Family
10147580,Fantasy
9340916,Thriller
2084952,Comedy
2084952,Family
14008268,Romance
10704342,Romance
10704342,Thriller
11142762,Comedy
11142762,Drama
11464730,Horror
11464730,Thriller
13975458,Horror
13975458,Mystery
13975458,Sci-Fi
14598754,Comedy
14598754,Drama
14598754,Romance
14805128,Drama
13045890,Drama
